mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,label_1,label_2,label_3,label_4,label_5,label_6,label_7
-199.6372528076172,59.274574279785156,-113.44612121582031,58.15613555908203,-60.68594741821289,54.823028564453125,-52.76258087158203,36.65727996826172,-39.45864486694336,36.8011474609375,-21.435426712036133,13.832048416137695,-19.17411994934082,True,False,False,False,False,False,False
-181.3554229736328,63.55729675292969,-108.08849334716797,55.7337532043457,-58.345298767089844,55.17009735107422,-50.90447235107422,34.92034912109375,-41.00175476074219,31.29330062866211,-25.27798843383789,17.06380844116211,-17.488059997558594,True,False,False,False,False,False,False
-182.66659545898438,64.1594009399414,-106.75198364257812,61.32160186767578,-59.99505615234375,53.18316650390625,-52.57991027832031,29.267549514770508,-44.35542678833008,31.794443130493164,-25.4289493560791,19.55732536315918,-14.45655345916748,True,False,False,False,False,False,False
-187.040771484375,57.089229583740234,-112.60173797607422,58.12617874145508,-63.53862762451172,50.06419372558594,-56.13970947265625,32.49211120605469,-40.9854850769043,34.181087493896484,-29.298316955566406,14.987456321716309,-12.586716651916504,True,False,False,False,False,False,False
-187.22303771972656,52.45475769042969,-99.94062042236328,58.50109100341797,-59.73972702026367,45.98107147216797,-50.46396255493164,23.602632522583008,-43.40980911254883,31.54503059387207,-21.365842819213867,15.444528579711914,-13.382579803466797,True,False,False,False,False,False,False
-176.8525848388672,58.669185638427734,-108.28328704833984,61.69450759887695,-65.5250473022461,48.57052993774414,-56.31825637817383,39.54047775268555,-38.30987548828125,31.557279586791992,-24.68509292602539,19.48668670654297,-16.253461837768555,True,False,False,False,False,False,False
-187.66485595703125,65.1047134399414,-102.06773376464844,65.07511138916016,-59.40618896484375,47.17476272583008,-49.559852600097656,33.875301361083984,-43.47722625732422,30.180763244628906,-26.49509620666504,16.988645553588867,-17.322795867919922,True,False,False,False,False,False,False
-192.0087127685547,55.348690032958984,-109.10648345947266,63.91920852661133,-59.14437484741211,45.7509765625,-51.97199249267578,33.081443786621094,-43.07313919067383,35.260902404785156,-18.419273376464844,17.719348907470703,-12.594325065612793,True,False,False,False,False,False,False
-172.6812286376953,61.26100158691406,-107.53202056884766,60.213348388671875,-62.958133697509766,49.30624008178711,-55.61800765991211,36.53640365600586,-43.76829528808594,29.687053680419922,-24.597944259643555,20.285869598388672,-12.062528610229492,True,False,False,False,False,False,False
-174.15907287597656,62.810340881347656,-109.06704711914062,53.26148986816406,-69.39815521240234,49.24398422241211,-45.2835578918457,30.609941482543945,-39.7395133972168,32.84656524658203,-24.85291862487793,17.031301498413086,-13.84209156036377,True,False,False,False,False,False,False
-181.1245574951172,66.26679992675781,-108.62727355957031,56.55535125732422,-73.32620239257812,54.41413497924805,-43.90650939941406,37.15911102294922,-40.05925369262695,30.741844177246094,-25.450883865356445,21.832733154296875,-10.69186019897461,True,False,False,False,False,False,False
-158.94313049316406,64.49271392822266,-104.85079193115234,48.31806182861328,-65.06890106201172,41.79581069946289,-43.21790313720703,35.07650375366211,-39.147789001464844,24.393983840942383,-26.939697265625,17.214916229248047,-13.136768341064453,True,False,False,False,False,False,False
-169.86878967285156,64.1828842163086,-104.88941955566406,59.85406494140625,-63.947391510009766,44.96490478515625,-50.49917984008789,34.784149169921875,-42.03968048095703,30.198028564453125,-24.91122055053711,12.822742462158203,-14.080166816711426,True,False,False,False,False,False,False
-168.09039306640625,61.87509536743164,-104.30059051513672,56.63975143432617,-64.5163803100586,41.48933792114258,-49.23162078857422,37.452938079833984,-39.22541809082031,33.46510696411133,-22.5628662109375,10.5104341506958,-17.966793060302734,True,False,False,False,False,False,False
-159.29832458496094,70.53312683105469,-77.18396759033203,56.461875915527344,-69.99821472167969,55.06800079345703,-31.02651596069336,28.244916915893555,-39.20036315917969,21.811365127563477,-28.892759323120117,12.93761157989502,-11.18273639678955,True,False,False,False,False,False,False
